Combination,Rec,FPR,Prec,F1,F0.5,F1.5,Mark,Inf
semgrep + sonarqube,0.75625,0.48125,0.6111111111111112,0.6759776536312849,0.6355042016806722,0.7047491039426523,0.2831001933768004,0.27499999999999997
semgrep + zap,0.66875,0.48125,0.5815217391304348,0.622093023255814,0.5970982142857143,0.6392463235294118,0.18964565153406512,0.18749999999999994
semgrep + arachni,0.725,0.4875,0.5979381443298969,0.655367231638418,0.6196581196581196,0.6805054151624549,0.24305102621022315,0.2375
semgrep + fsb,0.98125,0.61875,0.61328125,0.7548076923076924,0.6630067567567568,0.8283279220779219,0.453125,0.36249999999999993
sonarqube + zap,0.4,0.0,1.0,0.5714285714285715,0.7692307692307692,0.4905660377358491,0.5,0.4
sonarqube + arachni,0.4875,0.00625,0.9873417721518988,0.6527196652719666,0.819327731092437,0.5774487471526196,0.5580442765319727,0.48125
sonarqube + fsb,0.91875,0.525,0.6363636363636364,0.7519181585677749,0.6780442804428043,0.8083756345177665,0.43937926313648623,0.39374999999999993
zap + arachni,0.34375,0.00625,0.9821428571428571,0.5092592592592593,0.7161458333333333,0.4296875,0.44411739409784406,0.3375
zap + fsb,0.91875,0.525,0.6363636363636364,0.7519181585677749,0.6780442804428043,0.8083756345177665,0.43937926313648623,0.39374999999999993
arachni + fsb,0.91875,0.525,0.6363636363636364,0.7519181585677749,0.6780442804428043,0.8083756345177665,0.43937926313648623,0.39374999999999993
semgrep + sonarqube + zap,0.79375,0.48125,0.6225490196078431,0.6978021978021978,0.6506147540983607,0.7318262411347518,0.32503185468271484,0.31249999999999994
semgrep + sonarqube + arachni,0.85,0.4875,0.6355140186915887,0.7272727272727272,0.6692913385826772,0.7700348432055749,0.3850952610427551,0.3625
semgrep + sonarqube + fsb,0.98125,0.61875,0.61328125,0.7548076923076924,0.6630067567567568,0.8283279220779219,0.453125,0.36249999999999993
semgrep + zap + arachni,0.73125,0.4875,0.6,0.6591549295774648,0.6223404255319148,0.6851351351351351,0.24979991993593592,0.24374999999999997
semgrep + zap + fsb,0.98125,0.61875,0.61328125,0.7548076923076924,0.6630067567567568,0.8283279220779219,0.453125,0.36249999999999993
semgrep + arachni + fsb,0.98125,0.61875,0.61328125,0.7548076923076924,0.6630067567567568,0.8283279220779219,0.453125,0.36249999999999993
sonarqube + zap + arachni,0.53125,0.00625,0.9883720930232558,0.6910569105691057,0.8432539682539683,0.6193946188340808,0.592136908212939,0.525
sonarqube + zap + fsb,0.91875,0.525,0.6363636363636364,0.7519181585677749,0.6780442804428043,0.8083756345177665,0.43937926313648623,0.39374999999999993
sonarqube + arachni + fsb,0.91875,0.525,0.6363636363636364,0.7519181585677749,0.6780442804428043,0.8083756345177665,0.43937926313648623,0.39374999999999993
zap + arachni + fsb,0.91875,0.525,0.6363636363636364,0.7519181585677749,0.6780442804428043,0.8083756345177665,0.43937926313648623,0.39374999999999993
